Observation,,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Take407All
1,,16:37,Friday,Home,51.29,127.4,78.3,84.8,,39.3,36.3,No
2,,8:20,Friday,GSK,51.63,130.3,81.8,88.9,,37.9,34.9,No
3,,16:17,Wednesday,Home,51.27,127.4,82,85.8,,37.5,35.9,No
4,,7:53,Wednesday,GSK,49.17,132.3,74.2,82.9,,39.8,35.6,No
5,,18:57,Tuesday,Home,51.15,136.2,83.4,88.1,,36.8,34.8,No
6,,7:57,Tuesday,GSK,51.8,135.8,84.5,88.8,,36.8,35,No
7,,17:31,Monday,Home,51.37,123.2,82.9,87.3,-,37.2,35.3,No
8,,7:34,Monday,GSK,49.01,128.3,77.5,85.9,-,37.9,34.3,No
9,,8:01,Friday,GSK,52.91,130.3,80.9,88.3,8.89,39.3,36,No
10,,17:19,Thursday,Home,51.17,122.3,70.6,78.1,8.89,43.5,39.3,No
11,,8:16,Thursday,GSK,49.15,129.4,74,81.4,8.89,39.8,36.2,No
12,,7:45,Wednesday,GSK,51.77,124.8,71.7,78.9,8.89,43.3,39.4,No
13,,16:05,Tuesday,Home,51.45,130.1,75.2,82.7,8.89,41.1,37.3,No
14,,6:04,Tuesday,GSK,49.01,119,77.4,82,8.89,38,35.9,No
15,,16:18,Monday,Home,51.04,132.2,77.5,83.5,8.89,39.5,36.7,No
16,,7:34,Monday,GSK,52,137.8,76.5,87.8,8.89,40.8,35.5,No
17,,12:22,Friday,Home,51.05,128.4,86.9,90.6,9.08,35.2,33.8,No
18,,7:21,Friday,GSK,49.04,124.6,71.1,80.2,9.08,41.4,36.7,No
19,,16:14,Thursday,Home,51.06,126.9,80.5,84.9,9.08,38.1,36.1,No
20,,7:19,Thursday,GSK,51.68,123.5,68.1,75.8,9.08,45.6,40.9,No
21,,16:20,Wednesday,Home,51.04,123.4,75.1,79.4,9.08,40.8,38.6,No
22,,7:23,Wednesday,GSK,51.67,123.5,76.6,82.7,9.08,40.5,37.5,No
23,,17:43,Tuesday,Home,51.15,130.6,74.8,82.4,9.08,41,37.2,No
24,,7:25,Tuesday,GSK,49.19,126.1,65.4,74.2,9.08,45.1,39.8,No
25,,7:20,Monday,GSK,49.02,126.1,65.7,74,9.76,44.8,39.7,No
26,,12:04,Friday,Home,51.14,126.8,87.3,90.2,9.76,35.2,34,No
27,,7:22,Friday,GSK,51.69,128.4,74,77.3,9.76,41.9,40.1,No
28,,17:41,Thursday,Home,51.07,125,74.6,81.5,9.76,41.1,37.6,No
29,,7:14,Thursday,GSK,51.63,134.4,76.5,84.3,9.76,40.5,36.7,No
30,,16:12,Wednesday,Home,51.1,126.5,79.9,85.6,9.76,38.4,35.8,No
31,,7:18,Wednesday,GSK,51.64,124.6,73.6,82,9.76,42.1,37.8,No
32,,17:24,Tuesday,Home,51.25,123.5,77.3,81.9,9.16,39.8,37.6,No
33,,7:24,Tuesday,GSK,51.64,122.3,69.3,74.7,9.16,44.7,41.5,No
34,,16:18,Monday,Home,50.18,124,71,79.5,9.16,42.4,37.9,No
35,,16:15,Thursday,Home,51.55,129.6,74.2,83.7,,41.7,36.9,No
36,,7:24,Thursday,GSK,51.38,124.6,80.1,84.4,,38.5,36.5,No
37,,16:11,Wednesday,Home,51.09,128.7,71.5,76.7,,42.9,39.9,No
38,,7:19,Wednesday,GSK,51.71,125.6,76.3,81.8,,40.7,37.9,No
39,,16:52,Tuesday,Home,51,121.4,68.4,75.4,,44.7,40.6,No
40,,7:23,Tuesday,GSK,51.74,112.2,55.3,61,,56.2,50.9,No
41,,16:16,Monday,Home,51.05,128.2,72.4,78.8,,42.3,38.9,No
42,,7:26,Monday,GSK,51.63,127.1,71,75.5,,43.6,41.1,No
43,,16:15,Thursday,Home,51.49,126.6,74,82.8,9.3,41.8,37.3,No
44,,7:23,Thursday,GSK,51.69,124.9,73.3,80.3,9.3,42.3,38.6,No
45,,16:17,Wednesday,Home,60.32,129.4,68.9,74.6,9.3,52.5,48.5,No
46,,7:22,Wednesday,GSK,51.6,126.4,67.3,73.6,9.3,46,42.1,No
47,,16:15,Tuesday,Home,51.49,129.6,78.6,83.8,9.3,39.3,36.9,No
48,,7:27,Tuesday,GSK,51.65,128.6,76.1,82.6,9.3,40.7,37.5,No
49,,16:50,Monday,Home,51.31,123.1,60.9,67.2,10.05,50.6,45.8,No
50,,7:24,Monday,GSK,52.25,127.3,38.1,50.3,10.05,82.3,62.4,No
51,,16:16,Thursday,Home,51.16,127.6,72.4,77.4,10.05,42.4,39.6,No
52,,7:42,Thursday,GSK,51.67,127,70.9,77.7,10.05,43.7,39.9,No
53,,16:13,Wednesday,Home,51.12,125.1,65,73.1,9.53,47.2,41.9,No
54,,7:26,Wednesday,GSK,51.7,129.8,73.4,80.4,9.53,42.3,38.6,No
55,,17:36,Tuesday,Home,51.06,122.8,61.4,70.9,9.53,49.9,43.2,No
56,,7:21,Tuesday,GSK,51.5,127.6,70.5,77.7,9.53,43.8,39.8,No
57,,16:15,Monday,Home,51.06,119.5,64.4,70.2,9.53,47.6,43.6,No
58,,7:19,Monday,GSK,51.66,126.4,55.2,59.1,9.53,56.1,52.5,No
59,,16:11,Thursday,Home,51.07,129.8,75.2,82.6,9.53,40.8,37.1,No
60,,7:25,Thursday,GSK,51.68,132.5,69.8,74.7,9.53,44.4,41.5,No
61,,16:15,Wednesday,Home,51.28,121.4,65.9,71.8,9.35,46.7,42.1,No
62,,7:25,Wednesday,GSK,51.79,127.5,65.6,72.4,9.35,47.3,42.9,No
63,,17:24,Tuesday,Home,50.75,131.3,89.5,93.5,9.35,34.3,32.6,Yes
64,,7:25,Tuesday,GSK,51.82,126.8,66.1,73.9,9.35,47,42.1,No
65,,16:05,Monday,Home,51.06,127.4,80.4,85.2,9.35,38.1,36,No
66,,7:19,Monday,GSK,51.62,125.4,74.9,82.9,9.35,41.4,37.4,No
67,,12:12,Friday,Home,51.03,128.4,82.2,89.7,9.35,37.2,34.1,No
68,,8:16,Friday,GSK,51.81,130.2,82.1,85,9.35,37.9,36.6,No
69,,17:00,Thursday,Home,51.07,130.3,75.8,81.7,8.32,40.4,37.5,No
70,,7:46,Thursday,GSK,51.83,133,80.6,85.4,8.32,38.6,36.4,No
71,,16:45,Wednesday,Home,51.27,121.5,75.1,79.1,8.32,41,38.9,No
72,,7:51,Wednesday,GSK,51.83,129.3,72.5,78.1,8.32,42.9,39.8,No
73,,8:13,Tuesday,GSK,51.74,129.7,71.8,79.4,8.32,43.2,39.1,No
74,,15:49,Monday,Home,51.06,125,76.4,85.7,8.32,40.1,35.7,No
75,,6:21,Monday,GSK,50.58,125,104.4,106.2,8.32,29.1,28.6,Yes
76,,12:14,Friday,Home,51.28,120.5,83,89.5,8.32,37.1,34.4,No
77,,8:20,Thursday,GSK,51.77,125.6,82.4,89.5,8.97,37.7,34.7,No
78,,8:20,Wednesday,GSK,51.75,127.9,74.6,81.7,8.97,41.6,38,No
79,,17:24,Tuesday,Home,52.87,123.5,65.1,72.4,8.97,48.7,43.8,No
80,,8:13,Tuesday,GSK,51.75,127.4,72.1,82,8.97,43.1,37.8,No
81,,17:29,Monday,Home,51.06,126.5,71.6,78.6,8.97,42.8,39,No
82,,8:31,Friday,GSK,50.64,129,106.6,112.1,8.97,28.5,27.1,Yes
83,,17:37,Thursday,Home,51.33,125.2,72.5,79.6,8.75,42.5,38.7,No
84,,8:22,Thursday,GSK,51.74,124.5,68.9,79.2,8.75,45,39.2,No
85,,17:39,Wednesday,Home,51.3,126.2,63.4,73.3,8.75,48.6,42,No
86,,8:24,Wednesday,GSK,51.68,130.2,75.7,81.6,8.75,41,38,No
87,,17:28,Tuesday,Home,51.36,133.1,69.5,79.1,8.75,44.4,38.9,No
88,,8:14,Tuesday,GSK,51.74,130.8,80.8,85.2,8.75,38.4,36.5,No
89,,16:58,Monday,Home,51.3,127.3,78.6,82.9,8.75,39.1,37.1,No
90,,8:22,Monday,GSK,50.61,137.1,93.7,100.3,8.75,32.4,30.3,Yes
91,,8:36,Thursday,GSK,50.66,128.3,105.5,111.3,8.75,28.8,27.3,Yes
92,,17:47,Wednesday,Home,51.4,114.4,59.7,65.8,8.75,51.7,46.9,No
93,,8:28,Wednesday,GSK,50.58,128.4,59.5,67.3,8.75,51,45.1,Yes
94,,17:17,Tuesday,Home,51.52,135.1,67.3,78.4,7.81,46,39.5,No
95,,8:25,Tuesday,GSK,48.94,130.8,85.7,93.2,7.81,34.3,31.5,Yes
96,,12:15,Friday,Home,51.02,124.8,80.4,88.9,7.97,38.1,34.4,Yes
97,,8:23,Friday,GSK,50.68,128.3,101.9,107.2,7.97,29.9,28.4,Yes
98,,17:58,Thursday,Home,51.29,126,73.3,76.3,7.97,42,40.3,No
99,,8:22,Thursday,GSK,50.63,125.6,38.5,103.8,7.97,30.8,29.3,Yes
100,,17:10,Wednesday,Home,51.31,127.5,69.5,75.5,7.97,44.3,40.8,No
101,,8:36,Wednesday,GSK,50.59,128.5,103.4,108,7.97,29.4,28.1,Yes
102,,17:39,Tuesday,Home,51.15,128.8,76,85.2,7.97,40.4,36,No
103,,7:42,Tuesday,GSK,50.67,127.3,94.9,97.9,7.97,32,31.1,Yes
104,,17:31,Monday,Home,51.22,126.7,81.2,86.4,7.97,37.8,35.6,No
105,,7:41,Monday,GSK,50.65,127.4,91.1,95.2,7.97,33.4,31.9,Yes
106,,17:17,Thursday,Home,51.39,128.4,65.3,71.9,8.93,47.2,42.9,No
107,,8:22,Thursday,GSK,50.65,122.8,83.5,86.9,8.93,36.4,35,Yes
108,,17:53,Wednesday,Home,51.23,124.9,79.2,81.5,8.93,38.8,37.7,No
109,,7:57,Wednesday,GSK,50.65,128.8,102.2,105.7,8.93,29.7,28.7,Yes
110,,17:26,Tuesday,Home,51.11,130.1,69.8,75.6,8.31,44,40.6,No
111,,7:36,Tuesday,GSK,50.65,128.1,86.3,88.6,8.31,35.2,34.3,Yes
112,,17:37,Monday,Home,50.69,132.3,97.2,103.6,8.31,31.3,29.3,Yes
113,,8:02,Monday,GSK,50.65,129.4,88.2,91.3,8.31,34.4,33.3,Yes
114,,17:27,Thursday,Home,51.11,124.8,74.3,79.6,8.31,41.3,38.5,No
115,,7:37,Thursday,GSK,50.67,130,97.6,101.6,8.31,31.1,29.9,Yes
116,,18:05,Wednesday,Home,51.74,133.3,82.9,89.2,8.33,37.4,34.8,Yes
117,,8:02,Wednesday,GSK,49.16,128.7,59.5,68,8.33,49.6,43.4,No
118,,17:20,Tuesday,Home,51.23,127.2,71.7,76.9,8.33,42.9,40,No
119,,8:10,Tuesday,GSK,51.69,128.7,70.4,70.1,8.33,44.1,39.7,No
120,,16:43,Monday,Home,51.3,123.9,69.6,75.2,8.33,44.2,40.9,No
121,,6:34,Monday,GSK,49.09,123.7,69.4,79.1,8.33,42.4,37.3,No
122,,17:50,Thursday,Home,51.13,127.5,69,75.9,8.33,44.4,40.4,No
123,,8:08,Thursday,GSK,50.67,129.3,99,103.3,8.33,30.7,29.4,Yes
124,,17:36,Wednesday,Home,51.77,127,71.1,79.6,8.33,43.7,39,No
125,,8:11,Wednesday,GSK,50.54,126.8,98.7,103.7,8.33,30.7,29.3,Yes
126,,17:22,Tuesday,Home,51.58,134.3,70,80,8.5,44.2,38.7,No
127,,7:51,Tuesday,GSK,49.12,129.1,52.7,63.2,8.5,55.9,46.6,No
128,,17:04,Monday,Home,51.43,131.1,75.1,79.5,8.5,40.6,38.8,No
129,,8:05,Monday,GSK,49.12,127.5,65.7,73.1,8.5,44.8,40.3,No
130,,16:37,Thursday,Home,50.92,137,66.9,77.7,8.5,45.6,39.3,No
131,,7:23,Thursday,GSK,49.25,124.7,53.5,63.1,8.5,55.2,46.9,No
132,,17:24,Wednesday,Home,51.34,132.8,71.5,76.6,8.5,43.1,40.2,No
133,,7:57,Wednesday,GSK,49.08,125.1,56.5,66.5,8.5,52.1,44.3,No
134,,16:27,Tuesday,Home,52.88,131.6,95.4,98.3,8.5,33.3,32.3,Yes
135,,7:50,Tuesday,GSK,54.36,132.5,95.1,98,8.5,34.3,33.3,Yes
136,,17:07,Friday,Home,51.17,129.7,77.7,87.9,8.5,39.5,34.9,No
137,,7:39,Friday,GSK,51.65,132.7,82.6,91.4,8.5,37.5,33.9,No
138,,17:33,Thursday,Home,52.42,128.9,81.6,88,8.5,38.5,35.7,No
139,,8:08,Thursday,GSK,49.13,126.8,67.3,73.9,8.5,43.8,39.9,No
140,,17:14,Wednesday,Home,51.15,140.9,71.5,79.5,8.5,42.9,38.6,No
141,,8:09,Wednesday,GSK,49.07,127.7,65.9,77.3,8.5,44.7,38.1,No
142,,17:38,Tuesday,Home,51.66,138,67.1,73.2,8.5,46.2,42.4,No
143,,7:57,Tuesday,GSK,49.04,133.5,69.1,77.8,8.5,42.6,37.8,No
144,,17:11,Monday,Home,51.04,131,75.5,84.1,8.5,40.5,36.4,No
145,,7:48,Monday,GSK,49.15,124,63.9,74,8.5,46.1,39.9,No
146,,16:29,Friday,Home,50.88,132.7,81.1,86.9,8.54,37.6,35.2,No
147,,7:49,Friday,GSK,49.01,129.1,76.3,83.3,8.54,38.6,35.3,No
148,,17:39,Thursday,Home,51.23,132.8,64.2,70.6,8.54,47.9,43.5,No
149,,9:09,Thursday,GSK,50.45,133.5,106.8,111.1,8.54,28.3,27.3,Yes
150,,16:47,Wednesday,Home,51.01,132.9,79.6,86.1,8.54,38.5,38.5,No
151,,7:59,Wednesday,GSK,49.07,127.1,58.5,71.5,8.54,50.3,41.1,No
152,,17:23,Tuesday,Home,51.22,129.7,79.7,84.5,8.54,38.5,36.4,No
153,,7:54,Tuesday,GSK,49.2,124.5,71,76.7,8.54,41.6,38.5,No
154,,16:44,Monday,Home,51.12,126.8,77.9,85.2,8.54,39.6,36,No
155,,7:49,Monday,GSK,49.18,123.8,65.6,73.3,8.54,45,40.2,No
156,,17:42,Friday,Home,51.09,126.5,78.1,81.6,8.37,39.3,37.6,No
157,,7:05,Friday,GSK,49.18,123,72,81.4,8.37,41,36.3,No
158,,17:05,Thursday,Home,50.97,129.6,66.6,76.2,8.37,45.9,40.2,No
159,,8:11,Thursday,GSK,52.26,137.7,51.2,64.1,8.37,61.2,48.9,No
160,,17:17,Wednesday,Home,51.11,129.8,68.9,75.7,8.37,44.5,40.5,No
161,,8:10,Wednesday,GSK,49.1,124.8,67.9,76.2,8.37,43.4,38.7,No
162,,17:27,Tuesday,Home,51.14,133.4,82.4,87,8.37,37.2,35.3,No
163,,8:15,Tuesday,GSK,49.14,131.7,75,80.2,8.37,39.3,36.7,No
164,,17:38,Monday,Home,51.11,132.3,78,83.7,8.37,39.3,36.7,No
165,,8:15,Monday,GSK,49.2,124.7,71.3,75.7,8.37,41.4,39,No
166,,17:25,Friday,Home,55.57,127.7,69.6,77.1,8.54,47.9,43.2,No
167,,8:05,Friday,GSK,49.02,128.4,76.7,82.9,8.54,38.4,35.5,No
168,,17:25,Thursday,Home,51.18,133.6,80.7,86,8.54,38,35.7,No
169,,8:13,Thursday,GSK,48.99,125.5,68.3,79.5,8.54,43,37,No
170,,17:14,Wednesday,Home,51.03,127.4,73.5,79.3,8.54,41.7,38.6,No
171,,8:13,Wednesday,GSK,48.98,124.8,72.8,78.8,8.54,40.4,37.3,No
172,,17:13,Tuesday,Home,51.15,127.1,72.1,82.3,8.54,42.5,37.3,No
173,,8:15,Tuesday,GSK,49.08,134.8,60.5,67.2,8.54,48.7,43.8,No
174,,17:05,Monday,Home,52.35,127.5,76.9,84.2,8.54,40.9,37.3,No
175,,8:07,Monday,GSK,49.25,126.3,68.5,78.2,8.54,43.1,37.8,No
176,,17:00,Friday,Home,51.94,126.7,74.5,82.6,8.48,41.9,37.7,No
177,,8:20,Friday,GSK,49.13,123.9,74.1,79.9,8.48,39.8,36.9,No
178,,17:38,Thursday,Home,50.96,131.9,70.3,78.5,8.48,43.5,38.9,No
179,,8:17,Thursday,GSK,49.12,122.4,71.5,77.3,8.48,41.2,38.2,No
180,,17:14,Wednesday,Home,51.64,125,72.2,78.7,8.48,42.9,39.4,No
181,,8:06,Wednesday,GSK,49.06,121.9,71.5,78.7,8.48,41.2,37.4,No
182,,17:22,Tuesday,Home,51.16,124.2,76.3,83.2,8.48,40.2,36.9,No
183,,7:38,Tuesday,GSK,53.48,124.9,68.8,78.8,8.48,46.7,40.7,No
184,,20:31,Friday,Home,50.68,135.6,107.7,110.4,8.45,28.2,27.6,Yes
185,,8:22,Friday,GSK,49.07,121.1,73.2,77.7,8.45,40.2,37.9,No
186,,17:46,Thursday,Home,51.09,128.5,76,84.8,8.45,40.3,36.2,No
187,,8:11,Thursday,GSK,49.11,120.1,69.1,73.1,8.45,42.6,40.3,No
188,,17:24,Wednesday,Home,50.98,124.9,68.3,71.9,8.45,44.8,42.6,No
189,,8:15,Wednesday,GSK,48.82,124.5,70.4,77.8,8.45,41.6,37.6,No
190,,17:15,Tuesday,Home,51.28,122.1,43.7,51.5,8.45,70.5,59.8,No
191,,8:11,Tuesday,GSK,49.16,122.6,71.9,76.8,8.45,41,38.4,No
192,,16:59,Monday,Home,51.05,126.6,70.4,78.8,8.45,51.1,38.9,No
193,,8:06,Monday,GSK,48.32,121.2,63.4,78.4,8.45,45.7,37,No
194,,16:47,Friday,Home,51.24,126.3,75.8,81.8,8.28,40.6,37.6,No
195,,8:28,Friday,GSK,51.05,123.3,88.9,96.7,8.28,34.5,31.7,Yes
196,,7:59,Thursday,GSK,48.35,129.3,81.5,89,8.28,35.6,32.6,Yes
197,,17:17,Wednesday,Home,53.47,124,58.6,71,7.89,54.8,45.2,No
198,,8:24,Wednesday,GSK,48.5,125.8,75.7,87.3,7.89,38.5,33.3,Yes
199,,17:17,Tuesday,Home,51.16,126.7,92.2,102.6,7.89,33.3,29.9,Yes
200,,8:11,Tuesday,GSK,50.96,124.3,82.3,96.4,7.89,37.2,31.7,Yes
201,,8:09,Monday,GSK,54.52,125.6,49.9,82.4,7.89,65.5,39.7,No
202,,8:03,Thursday,GSK,50.9,123.7,76.2,95.1,7.89,40.1,32.1,Yes
203,,17:08,Wednesday,Home,51.96,132.6,57.5,76.7,,54.2,40.6,Yes
204,,17:51,Tuesday,Home,53.28,125.8,61.6,87.6,,51.9,36.5,Yes
205,,16:56,Monday,Home,51.73,125,62.8,92.5,,49.5,33.6,Yes